title,url,img
​​Xylella fastidiosa,http://www.agriculture.gov.au//pests-diseases-weeds/plant/xylella,http://www.agriculture.gov.au//SiteCollectionImages/pests-diseases-weeds/1-xylella.jpg
Khapra beetle,http://www.agriculture.gov.au//pests-diseases-weeds/plant/khapra-beetle,http://www.agriculture.gov.au//SiteCollectionImages/pests-diseases-weeds/2-khapra.jpg
Fruit flies,http://www.agriculture.gov.au//pests-diseases-weeds/plant/fruit-flies,http://www.agriculture.gov.au//SiteCollectionImages/pests-diseases-weeds/3-exotic-fruit-fly.jpg
Karnal bunt,http://www.agriculture.gov.au//pests-diseases-weeds/plant/karnal-bunt,http://www.agriculture.gov.au//SiteCollectionImages/pests-diseases-weeds/4-karnal-bunt.jpg
Huanglongbing,http://www.agriculture.gov.au//pests-diseases-weeds/plant/huanglongbing,http://www.agriculture.gov.au//SiteCollectionImages/pests-diseases-weeds/5-huanglongbing.jpg
Gypsy moth,http://www.agriculture.gov.au//pests-diseases-weeds/plant/exotic-gypsy-moth,http://www.agriculture.gov.au//SiteCollectionImages/pests-diseases-weeds/6-exotic-gypsy-moth.jpg
Tramp ants,http://www.agriculture.gov.au//pests-diseases-weeds/plant/tramp-ants,http://www.agriculture.gov.au//SiteCollectionImages/pests-diseases-weeds/7-tramp-ant.jpg
Internal and external mites of bees,http://www.agriculture.gov.au//pests-diseases-weeds/plant/bees,http://www.agriculture.gov.au//SiteCollectionImages/pests-diseases-weeds/8-mites-bees.jpg
Giant African snail,http://www.agriculture.gov.au//pests-diseases-weeds/plant/giant-african-snail,http://www.agriculture.gov.au//SiteCollectionImages/pests-diseases-weeds/9-giant-african-snail.jpg
Brown marmorated stink bug,http://www.agriculture.gov.au//pests-diseases-weeds/plant/brown-marmorated-stink-bug,http://www.agriculture.gov.au//SiteCollectionImages/pests-diseases-weeds/10-brown-marm-stink-bug.jpg
Zebra chip,http://www.agriculture.gov.au//pests-diseases-weeds/plant/zebra-chip,http://www.agriculture.gov.au//SiteCollectionImages/pests-diseases-weeds/11-zebra-chip.jpg
Ug99 (Wheat stem rust),http://www.agriculture.gov.au//pests-diseases-weeds/plant/ug99,http://www.agriculture.gov.au//SiteCollectionImages/pests-diseases-weeds/12-ug99.jpg
Russian wheat aphid (holocyclic form)​,http://www.agriculture.gov.au//pests-diseases-weeds/plant/russian-wheat-aphid,http://www.agriculture.gov.au//SiteCollectionImages/pests-diseases-weeds/13-russian-wheat-aphid.jpg
Citrus canker,http://www.agriculture.gov.au//pests-diseases-weeds/plant/citrus-canker,http://www.agriculture.gov.au//SiteCollectionImages/pests-diseases-weeds/14-citrus-canker.jpg
Guava (Eucalyptus) rust,http://www.agriculture.gov.au//pests-diseases-weeds/plant/guava-eucalyptus-rust,http://www.agriculture.gov.au//SiteCollectionImages/pests-diseases-weeds/15-guava-eucalyptus-rust.jpg
Phytophthora blight,http://www.agriculture.gov.au//pests-diseases-weeds/plant/phytophthora-blight,http://www.agriculture.gov.au//SiteCollectionImages/pests-diseases-weeds/16.airborne-phytophthora.jpg
Phytophthora blight/sudden oak death,http://www.planthealthaustralia.com.au/pests/sudden-oak-death,http://www.agriculture.gov.au//SiteCollectionImages/pests-diseases-weeds/16-phytophthora-blight.jpg
Exotic bees,http://www.agriculture.gov.au//pests-diseases-weeds/plant/exotic-bees,http://www.agriculture.gov.au//SiteCollectionImages/pests-diseases-weeds/17-exotic-bees.jpg
Tropical Race 4,http://www.agriculture.gov.au//pests-diseases-weeds/plant/panama-disease-tropical-race-4,http://www.agriculture.gov.au//SiteCollectionImages/pests-diseases-weeds/18-tropical-race-4.jpg
Potato Cyst Nematode,http://www.agriculture.gov.au//pests-diseases-weeds/plant/potato-cyst-nematode,http://www.agriculture.gov.au//SiteCollectionImages/pests-diseases-weeds/19-potato-cyst-nematode.jpg
Leaf miner,http://www.agriculture.gov.au//pests-diseases-weeds/plant/leaf-miner,http://www.agriculture.gov.au//SiteCollectionImages/pests-diseases-weeds/20-leaf-miner.jpg
Fire blight,http://www.planthealthaustralia.com.au/pests/fire-blight,http://www.agriculture.gov.au//SiteCollectionImages/pests-diseases-weeds/21-fire-blight.jpg
Hessian fly/Barley stem gall midge,http://www.planthealthaustralia.com.au/pests/hessian-fly,http://www.agriculture.gov.au//SiteCollectionImages/pests-diseases-weeds/22-hessian-fly-barley-stem-gall-midge.jpg
Texas root rot,http://www.planthealthaustralia.com.au/pests/texas-root-rot,http://www.agriculture.gov.au//SiteCollectionImages/pests-diseases-weeds/23-texas-root-rot.jpg
Wheat stem sawfly,http://www.planthealthaustralia.com.au/sci_name/cephus-cinctus,http://www.agriculture.gov.au//SiteCollectionImages/pests-diseases-weeds/24-wheat-stem-sawfly.jpg
Golden apple snail,http://www.planthealthaustralia.com.au/pests/golden-apple-snail,http://www.agriculture.gov.au//SiteCollectionImages/pests-diseases-weeds/25-golden-apple-snail.jpg
Barley stripe rust,http://www.planthealthaustralia.com.au/pests/barley-stripe-rust,http://www.agriculture.gov.au//SiteCollectionImages/pests-diseases-weeds/26-barley-stripe-rust.jpg
Cereal cyst nematode,http://www.planthealthaustralia.com.au/pests/soybean-cyst-nematode,http://www.agriculture.gov.au//SiteCollectionImages/pests-diseases-weeds/27-cereal-cyst-nematode.jpg
Sharka,http://www.planthealthaustralia.com.au/pests/plum-pox-virus,http://www.agriculture.gov.au//SiteCollectionImages/pests-diseases-weeds/28-sharka.jpg
Drywood termite,https://www.daf.qld.gov.au/forestry/pests-and-diseases/termites,http://www.agriculture.gov.au//SiteCollectionImages/pests-diseases-weeds/29-drywood-termite.jpg
Subterranean termite,http://www.planthealthaustralia.com.au/pests/formosan-subterranean-termite,http://www.agriculture.gov.au//SiteCollectionImages/pests-diseases-weeds/30-subterranean-termite.jpg
Citrus longhorn beetle,http://www.planthealthaustralia.com.au/pests/citrus-longicorn-beetle,http://www.agriculture.gov.au//SiteCollectionImages/pests-diseases-weeds/31-citrus-longhorn-beetle.jpg
Red ring disease/Pine wood nematode,http://www.planthealthaustralia.com.au/pests/pinewood-nematode,http://www.agriculture.gov.au//SiteCollectionImages/pests-diseases-weeds/32-red-ring-disease.png
Fusarium wilt,http://www.planthealthaustralia.com.au/sci_name/fusarium-oxysporum-f-sp-vasinfectum,http://www.agriculture.gov.au//SiteCollectionImages/pests-diseases-weeds/33-fusarium-wilt.jpg
Sugarcane stalk borer,http://www.planthealthaustralia.com.au/pests/yellow-top-borer-of-sugarcane,http://www.agriculture.gov.au//SiteCollectionImages/pests-diseases-weeds/34-sugarcane-stalk-borer.jpg
Black sigatoka,http://www.planthealthaustralia.com.au/pests/black-sigatoka,http://www.agriculture.gov.au//SiteCollectionImages/pests-diseases-weeds/35-black-sigatoka.jpg
Potato late blight,http://www.planthealthaustralia.com.au/pests/potato-late-blight,http://www.agriculture.gov.au//SiteCollectionImages/pests-diseases-weeds/36-potato-late-blight.png
Sunn Pest,http://www.planthealthaustralia.com.au/sci_name/eurogaster-integriceps,http://www.agriculture.gov.au//SiteCollectionImages/pests-diseases-weeds/37-sunn-pest.jpg
Western/Tarnished plant bug,http://www.planthealthaustralia.com.au/pests/tarnished-plant-bug,http://www.agriculture.gov.au//SiteCollectionImages/pests-diseases-weeds/38-western-plant-bug.jpg
Exotic sawyer beetles,http://www.agriculture.gov.au//import/arrival/pests/japanese-sawyer-beetle,http://www.agriculture.gov.au//SiteCollectionImages/pests-diseases-weeds/39-japanese-sawyer-beetle.jpg
Burning Moth,http://www.planthealthaustralia.com.au/sci_name/hylesia-nigricans,http://www.agriculture.gov.au//SiteCollectionImages/pests-diseases-weeds/40-burning-moth.jpg
European canker,http://www.planthealthaustralia.com.au/pests/european-canker,http://www.agriculture.gov.au//SiteCollectionImages/pests-diseases-weeds/41-european-canker.png
Dutch elm disease,http://www.agriculture.gov.au//pests-diseases-weeds/forestry-timber#field-guide-to-exotic-pests-and-diseases-dutch-elm-disease,http://www.agriculture.gov.au//SiteCollectionImages/pests-diseases-weeds/42-dutch-elm-disease.jpg
